SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,16501 Skyline Blvd,Woodside,CA,94062,3475000,5,4.5,WOODSIDE,4760,242193,1990,65,730,,Active,,,https://www.redfin.com/CA/Woodside/16501-Skyline-Blvd-94062/home/1953288,MLSListings,ML81917844,N,Y,37.3897371,-122.2765098
MLS Listing,,Vacant Land,00 Cranfield Ave,San Carlos,CA,94070,200000,,,San Carlos,,8900,,65,,,Active,,,https://www.redfin.com/CA/San-Carlos/0-Cranfield-Ave-94070/home/183292678,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41018422,N,Y,37.505934,-122.286819
MLS Listing,,Vacant Land,000 Cranfield Ave,San Carlos,CA,94070,220000,,,San Carlos,,10637,,65,,,Active,,,https://www.redfin.com/CA/San-Carlos/0-Camborne-Ave-94070/home/184100708,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41018420,N,Y,37.501409,-122.2839836
MLS Listing,,Single Family Residential,867 Kilkare Rd,Sunol,CA,94586,1799000,6,3.0,Sunol,2694,75158,1968,66,668,,Active,,,https://www.redfin.com/CA/Sunol/867-Kilkare-Rd-94586/home/1582550,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41017858,N,Y,37.608914,-121.894698
MLS Listing,,Single Family Residential,485 Ferne Ave,Palo Alto,CA,94306,3288000,4,2.0,PALO ALTO,1765,8030,1956,66,1863,,Active,April-16-2023 01:30 PM,April-16-2023 04:30 PM,https://www.redfin.com/CA/Palo-Alto/485-Ferne-Ave-94306/home/1499431,MLSListings,ML81917668,N,Y,37.4143093,-122.1052451
MLS Listing,,Single Family Residential,18300 Constitution Ave,Monte Sereno,CA,95030,3999000,3,2.0,MONTE SERENO,2377,49880,1967,67,1682,,Active,April-8-2023 02:00 PM,April-8-2023 04:30 PM,https://www.redfin.com/CA/Monte-Sereno/18300-Constitution-Ave-95030/home/1057633,MLSListings,ML81917538,N,Y,37.2400999,-121.9920526
MLS Listing,,Single Family Residential,1868 Floribunda Ave,Hillsborough,CA,94010,58000000,8,9.0,HILLSBOROUGH,17907,101930,1924,67,3239,,Active,,,https://www.redfin.com/CA/Hillsborough/1868-Floribunda-Ave-94010/home/1265953,MLSListings,ML81917533,N,Y,37.572622,-122.360324
MLS Listing,,Single Family Residential,6 Camino Por Los Arboles,Atherton,CA,94027,11995000,5,5.5,ATHERTON,5400,31799,2000,68,2221,,Active,,,https://www.redfin.com/CA/Atherton/6-Camino-Por-Los-Arboles-94027/home/2046778,MLSListings,ML81917426,N,Y,37.4406564,-122.2050448
MLS Listing,,Single Family Residential,424 W Poplar Ave,San Mateo,CA,94402,3999000,4,3.5,SAN MATEO,3430,10602,1926,70,1166,,Active,April-8-2023 02:00 PM,April-8-2023 04:30 PM,https://www.redfin.com/CA/San-Mateo/424-W-Poplar-Ave-94402/home/1875387,MLSListings,ML81917372,N,Y,37.5649461,-122.34641
MLS Listing,,Single Family Residential,833 E Hedding St,San Jose,CA,95112,1495000,4,3.0,San Jose,2228,12720,1952,71,671,,Active,,,https://www.redfin.com/CA/San-Jose/833-E-Hedding-St-95112/home/1152413,MetroList,223006867,N,Y,37.3616222,-121.8865675
MLS Listing,,Single Family Residential,393 Atherton Ave,Atherton,CA,94027,8888888,6,8.5,ATHERTON,7560,43560,1996,71,1176,,Active,,,https://www.redfin.com/CA/Atherton/393-Atherton-Ave-94027/home/1959465,MLSListings,ML81917318,N,Y,37.4366196,-122.218721
MLS Listing,,Single Family Residential,39 Stockbridge Ave,Atherton,CA,94027,19988000,7,7.0,ATHERTON,9065,43700,2023,71,2205,,Active,,,https://www.redfin.com/CA/Atherton/39-Stockbridge-Ave-94027/home/1695147,MLSListings,ML81913850,N,Y,37.4636745,-122.2089557
MLS Listing,,Single Family Residential,486 Raymundo Dr,Woodside,CA,94062,3995000,3,2.0,WOODSIDE,1980,138520,1954,72,2018,,Active,April-8-2023 01:00 PM,April-8-2023 03:30 PM,https://www.redfin.com/CA/Woodside/486-Raymundo-Dr-94062/home/889667,MLSListings,ML81917203,N,Y,37.4434501,-122.2880505
MLS Listing,,Condo/Co-op,39224 Guardino Dr #306,Fremont,CA,94538,479000,1,1.0,Adobe Hills,693,212519,1990,72,691,523,Active,,,https://www.redfin.com/CA/Fremont/39224-Guardino-Dr-94538/unit-306/home/22804902,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41017907,N,Y,37.5577334,-121.9690843
MLS Listing,,Condo/Co-op,325 Valle Vista Ave #104,Hayward,CA,94544,415000,2,2.0,Jackson Triangle,725,64567,1984,72,572,623,Active,,,https://www.redfin.com/CA/Hayward/325-Valle-Vista-Ave-94544/unit-104/home/1461331,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41017888,N,Y,37.631634,-122.05255
MLS Listing,,Single Family Residential,1077 Portola Rd,Portola Valley,CA,94028,5195000,5,3.5,PORTOLA VALLEY,3600,53535,1925,72,1443,,Active,,,https://www.redfin.com/CA/Portola-Valley/1077-Portola-Rd-94028/home/1710683,MLSListings,ML81912081,N,Y,37.3859446,-122.2372265
MLS Listing,,Single Family Residential,3775 Middlefield Rd,Palo Alto,CA,94303,4555000,5,4.0,PALO ALTO,3674,12141,1985,72,1240,,Active,April-8-2023 01:30 PM,April-8-2023 04:30 PM,https://www.redfin.com/CA/Palo-Alto/3775-Middlefield-Rd-94303/home/1629114,MLSListings,ML81917122,N,Y,37.4235892,-122.1124794
MLS Listing,,Single Family Residential,1448 Madrona Ave,San Jose,CA,95125,1999000,4,2.5,SAN JOSE,2247,8200,1965,73,890,,Active,April-8-2023 01:00 PM,April-8-2023 04:00 PM,https://www.redfin.com/CA/San-Jose/1448-Madrona-Ave-95125/home/1252171,MLSListings,ML81917061,N,Y,37.2874028,-121.8983943
